abstract        abstakt
assert          säkerställ
boolean         boolesk
break           bryt
byte            bitgrupp
case            fall
catch           fånga
char            teck
class           klass
const           konst
continue        fortsätt
default         standardfall
do              gör
double          dubbel
else            annars
enum            uppräk
extends         utökar
false           falskt
final           slutgiltig
finally         slutligen
float           flyt
for             för
goto            gåtill
if              om
implements      förverkligar
import          hämta
instanceof      instansav
int             hel
interface       gränssnitt
long            lång
native          inhemsk
new             ny
null            inget
package         paketera
private         privat
protected       skyddad
public          offentlig
return          återlämna
short           kort
static          fast
strictfp        rigorösfp
super           stål
synchronized    samordnad
switch          växel
this            denna
throw           kasta
throws          kastar
transient       flyktig
true            sant
try             försök
void            tomhet
volatile        instabil
while           medans
